11189,11189,11189,1063,125,8,11189,11189,,69,1220,114,208,114,238,1005,159,2408,956,635,2271,86,816,362,82,46,119,827,204,53,24,173,69,11,14
10836,"It is easier to ask questions, as the professor made sure to go through all the submissions. Also, all lectures were recorded, so students could always go back to find examples or elaborations of difficult concepts.",k,g,,,k g  ,K G  ,"Interaction & communication, Self-organised learning",,,,,,,,,Interaction & communication,,,Self-organised learning,,,,,,,,,,,,,,
10837,Students more willing to ask. Can revisit lecture to understand better.,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
10838,It's nice to be able to access lecture recordings to revise the difficult concepts and equations.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
10839,Have lecture recoding and I have to rely on it for revision,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
10840,I am able to replay and try to understand the content again.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
10841,can repeat the video if don't understand,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
10842,Cancellation of 8:30am Lectures and replaced by Panopto videos,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
10843,Tutorial 會回應在 Blackboard 收集的問題，並作出回應，比較滿意,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
10844,no,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
10845,none,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
10846,可以慢慢聽數次同一段課堂內容，更容易了解課堂內容,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
10847,Professor allows us to ask questions through blackboard and he will answer us one by one. His effort in teaching is highly appreciated!!,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
10848,Can review videos about questions raised by students,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
10849,Discuss forum helps!,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
10850,The professor tried to encourage students to ask questinos. Online learning helps those who are shy to ask question through chatbox.,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
10851,We are able to ask our question on the forum.,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
10852,teacher can answer many questions,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
10853,沒有。,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
10854,no geographical limitations,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
10855,通過zoom上課提問和討論更加方便。,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
10856,Can repeatedly visit the lecture recording,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
10857,"Save my commuting time to cuhk, I can watch the lecture videos repeatedly until I understand the concepts, I don't have to attend 8:30 lessons anymore",e,k,,,e k  ,E K  ,"Time management, Self-organised learning",,,,,,,Time management,,,,,Self-organised learning,,,,,,,,,,,,,,
10858,Interactive function (e.g. the learning model to manipulate different variables),g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
10859,"Due to the limited explanation by professor, I was pushed and noticed the essential need to finish readings, and I could have more space to explore.",k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
10860,The lecture videos can be reviewed when needed.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
10861,Flexible lecture time,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
10862,The use of panopto allows me to repeat and revise.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
10863,"Students can choose when to watch panopto recordings, and with panopto, students can adjust the speed of teaching with pausing and speeding to establish better understanding",k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
10864,Save commuting time to cuhk,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
10865,Convenient,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
10866,"Holding biweekly tutorial sessions via ZOOM for students to ask questions about the lectures was a great use of the online teaching resources and well complemented the lectures. Also, the use of Panopto to release lectures was great as students could review the lectures during revision or when completing the assignments.",g,k,,,g k  ,G K  ,"Interaction & communication, Self-organised learning",,,,,,,,,Interaction & communication,,,Self-organised learning,,,,,,,,,,,,,,
10867,the teacher arranged lessons for students to ask questions and clarifying concepts. the teacher upload lecture recording to the Balckboard so it is more flexible for students to study and revise.,g,f,,,g f  ,G F  ,"Organization of class, Interaction & communication",,,,,,,,Organization of class,Interaction & communication,,,,,,,,,,,,,,,,,
10868,It could let me repeat the recording more than once,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
10869,"Have extra lectures for consultation, which let students understand the topics more.",f,,,,f   ,F   ,Organization of class,,,,,,,,Organization of class,,,,,,,,,,,,,,,,,,
10870,better follow up the lessons' content by listening the audio for repeated times,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
10871,Boring lecture can be revisited again,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
10872,"Can reserve time for Q&A, and can review lectures easily",k,g,,,k g  ,K G  ,"Interaction & communication, Self-organised learning",,,,,,,,,Interaction & communication,,,Self-organised learning,,,,,,,,,,,,,,
10873,Prevent spreading of COVID-19.,d,,,,d   ,D   ,Learning environment,,,,,,Learning environment,,,,,,,,,,,,,,,,,,,,
10874,Allow a better flow for the class,f,,,,f   ,F   ,Organization of class,,,,,,,,Organization of class,,,,,,,,,,,,,,,,,,
10875,"During the online teaching, students can ask questions by sending messages in chat frame of Zoom. Hence, students are more active in asking questions and communicate with Professor Chan. Professor Chan also reply students' questions with great patience and high quality. We can also listen to classmates' questions and the answers, which help all of us understand materials better.",g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
10876,none,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
10877,"Most of the material was uploaded in good time, the communication from Prof Chan and the TA (Tsz Lok Lee) was very good and amazingly helpful. I am very happy about their work and thankful for their amazing effort and patience in these difficult times.",k,g,,,k g  ,K G  ,"Interaction & communication, Self-organised learning",,,,,,,,,Interaction & communication,,,Self-organised learning,,,,,,,,,,,,,,
10878,more convenient to attend lessons,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
10879,i appreciate that teacher provide some time for students to ask her questions and she replied patiently.,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
10880,there are no good feature,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
10881,Factual materials are suitable to be taught online.,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
10882,Stop the spreading of COVID19,d,,,,d   ,D   ,Learning environment,,,,,,Learning environment,,,,,,,,,,,,,,,,,,,,
10883,At least the tutors were serious about teaching.,r,,,,r   ,R   ,On instructor,,,,,,,,,,,,,,,,,,,,On instructor,,,,,,
10884,可以截圖hidden slides,o,,,,o   ,O   ,Zoom functions/ online tools,,,,,,,,,,,,,,,Zoom functions/ online tools,,,,,,,,,,,
10885,Save my commuting time to cuhk,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
10886,"sometimes the lesson can overrun to explain more information, and having 3-hour lesson in a more comfortable envrionment",f,d,,,f d  ,F D  ,"Learning environment, Organization of class",,,,,,Learning environment,,Organization of class,,,,,,,,,,,,,,,,,,
10887,Overrun,f,,,,f   ,F   ,Organization of class,,,,,,,,Organization of class,,,,,,,,,,,,,,,,,,
10888,It saves travelling time to school.,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
10889,more convenient to learn,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
10890,"teacher make use of polling and whiteboard illustration to check-ins with students, which demonstrate good communication and understanding to students",o,p2,,,o p2  ,O P2  ,"Zoom functions/ online tools, Assignment",,,,,,,,,,,,,,,Zoom functions/ online tools,,Assignment,,,,,,,,,
10891,"professor uploads ppt before evert start of lecture, which was not done before online teaching.",k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
10892,Nothing,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
10893,方便,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
10894,"many videos are played, teachers used many online platform to interest with students which made the lesson interesting teacher invited students to write on white broad which enhanced more interactions (even more than normal face to face classes)",o,g,,,o g  ,O G  ,"Interaction & communication, Zoom functions/ online tools",,,,,,,,,Interaction & communication,,,,,,Zoom functions/ online tools,,,,,,,,,,,
10895,Allow all students to participate in class activities through polling and share screen whiteboard function in zoom,n,g,o,,n g o ,N G O ,"Interaction & communication, Clarity of delivery, Zoom functions/ online tools",,,,,,,,,Interaction & communication,,,,,Clarity of delivery,Zoom functions/ online tools,,,,,,,,,,,
10896,you can revisit the course video anytime if needed,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
10897,Online tutorial to answer questions about the lesson,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
10898,The lecturer managed to turn the online session into a very fruitful discussion opportunity.,u,,,,u   ,U   ,Learning result and effectiveness,,,,,,,,,,,,,,,,,,,,,,,Learning result and effectiveness,,,
10899,It provides additional tutorial sessions from the teacher which otherwise would not be available. However the trade off is that we are learning from materials/ lectures from last year and we need to make extra time to listen to the online lecture recordings in addition to attending the tutorials. This extra time required is quite difficult to part time students.,k,f,e,,k f e ,K F E ,"Time management, Organization of class, Self-organised learning",,,,,,,Time management,Organization of class,,,,Self-organised learning,,,,,,,,,,,,,,
10900,Recording is available to aid revision.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
10901,Encouraged students to try out different digital means to hold mock workshops and proposal presentations,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
10902,it saved a lot of travelling time. easier to ask question and give comment in class.,g,e,,,g e  ,G E  ,"Time management, Interaction & communication",,,,,,,Time management,,Interaction & communication,,,,,,,,,,,,,,,,,
10903,Simulate webinar,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
10904,All of us have to follow the trend and learn to use online materials - which is also part of our roles in real life,v,,,,v   ,V   ,Others,,,,,,,,,,,,,,,,,,,,,,,,Others,,
10905,can keep having lesson during pandemic,c1,,,,c1   ,C1   ,continue learning,,,,,continue learning,,,,,,,,,,,,,,,,,,,,,
10906,方便師生上課,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
10907,None,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
10908,"This course is taken in computer classroom practically, hence it seems no so many limitations of the online teaching. Teacher can express the contents clearly online.",q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
10909,can re-play the lecture recording so that I can think about complicated concepts with more time.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
10910,There are recordings which I can revisit and also control the speed of replaying (e.g. I can slow down if the content is too difficult),k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
10911,Save travelling time. Can review the lecture later through recording,e,k,,,e k  ,E K  ,"Time management, Self-organised learning",,,,,,,Time management,,,,,Self-organised learning,,,,,,,,,,,,,,
10912,"the content is not very easy to understand quickly, I can look back the recording to digest after class",k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
10913,"The professor explained the context is pretty clear, and the reference is much useful for me.  there is an advantage for the online course, that is the course is recorded, it is useful for such a statistical course.",k,j,,,k j  ,K J  ,"Learning content/ resources, Self-organised learning",,,,,,,,,,,Learning content/ resources,Self-organised learning,,,,,,,,,,,,,,
10914,"Save a lot of time in traveling.We can also learn from each other’s work in a more systematic way, as all work is stored in soft copy format and could be circulated.",e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
10915,it is easy to organize the discussion,h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
10916,更易交流,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
10917,More focus,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
10918,Students are much less likely to be late to class,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
10919,use of breakout rooms,h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
10920,Recording of lectures,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
10921,Everything went smoothly as face-to-face teaching,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
10922,There are recordings that we can revisit after class.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
10923,Flexible time,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
10924,Everyone can lead their own discussion questions during the class.,h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
10925,Not really,c,,,,c   ,C   ,IDK/ same,,,,IDK/ same,,,,,,,,,,,,,,,,,,,,,,
10926,"little stress, the teaching materials are presented clear",d,n,,,d n  ,D N  ,"Learning environment, Clarity of delivery",,,,,,Learning environment,,,,,,,,Clarity of delivery,,,,,,,,,,,,
10927,"Classmates are more open to discuss, which benefits this discussion-based course a lot. Share screen function of zoom makes ppt more clear to read.",n,g,,,n g  ,N G  ,"Interaction & communication, Clarity of delivery",,,,,,,,,Interaction & communication,,,,,Clarity of delivery,,,,,,,,,,,,
10928,"The small class size helps a lot, as this is a seminar course, the discussion went pretty smoothly most of the time.",h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
10929,"It's hard to compare, but there could have been a case where some people were more comfortable speaking up in this condition and therefore it really enhanced the class discussions.Also, in cases where ad hoc materials need to be shared with the class (example articles), the online system made it easy to quickly share a link to the resources.",g,j1,,,g j1  ,G J1  ,"Interaction & communication, Learning content/ resources",,,,,,,,,Interaction & communication,,Learning content/ resources,,,,,,,,,,,,,,,
10930,"All in all, I enjoyed using zoom for this seminar. I believe the credit really goes to our professor for leading the class discussions effectively. He would always share his thoughts and knowledge on the questions at hand and encourage students to discuss and reflect on the discussion, which made the zoom discussions really enjoyable. He would always provide us with summary of the compulsory readings, how they could deepen our overall understanding of the field. He would also suggest further readings if we are interested.",r,,,,r   ,R   ,On instructor,,,,,,,,,,,,,,,,,,,,On instructor,,,,,,
10931,save transportation cost and timecan replay the lecture videos for revision and confusing points,e,k,,,e k  ,E K  ,"Time management, Self-organised learning",,,,,,,Time management,,,,,Self-organised learning,,,,,,,,,,,,,,
10932,Able to record the lectures,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
10933,"Clear explanation of different topics. The topic on optical communication dig really deep and kind of difficult to be understood. The amount of powerpoint materials can slightly be adjusted as it is kind of rush to complete all the materials, esp. when there is some time teaching time left. Overall, an excellent course for IERG student to increase their exposure to different telecommunication tech in the market, with excellent seminars from external speakers.",j,f,,,j f  ,J F  ,"Organization of class, Learning content/ resources",,,,,,,,Organization of class,,,Learning content/ resources,,,,,,,,,,,,,,,
10934,Can perform online talk to let us to know more about the stuff.,f,,,,f   ,F   ,Organization of class,,,,,,,,Organization of class,,,,,,,,,,,,,,,,,,
10935,we can have interaction with prof,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
10936,I think having a broad knowledge in the information engineering industry is useful and fun. Online lecture is more than enough for this course. So it is great to save time by not needing to commute to school.,u,e,,,u e  ,U E  ,"Time management, Learning result and effectiveness",,,,,,,Time management,,,,,,,,,,,,,,,,Learning result and effectiveness,,,
10937,Professor Chan is good!!!!! He gives us many advices when we need. He also understands our need to give us more time to work on our project. The invited lectures are very good as well!,r,,,,r   ,R   ,On instructor,,,,,,,,,,,,,,,,,,,,On instructor,,,,,,
10938,Free and easy to attend lectures. Also have video record.,k,d,,,k d  ,K D  ,"Learning environment, Self-organised learning",,,,,,Learning environment,,,,,,Self-organised learning,,,,,,,,,,,,,,
10939,Convenient,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
10940,缺乏體驗性,u,,,,u   ,U   ,Learning result and effectiveness,,,,,,,,,,,,,,,,,,,,,,,Learning result and effectiveness,,,
10941,We can share screen easily,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
10942,"It's really difficult to teach fieldwork online as the students lack access to the field during the environment. It's more about reading and sharing experiences this semester, but the professor's feedback about the homework is very useful.",p3,,,,p3   ,P3   ,Learning activities,,,,,,,,,,,,,,,,,,Learning activities,,,,,,,,
10943,1) Fixed time duration per week2) Easy control of the teaching and learning flow because of the number of participants,f,q1,,,f q1  ,F Q1  ,"Organization of class, Overall convenience ",,,,,,,,Organization of class,,,,,,,,,,,Overall convenience ,,,,,,,
10944,Videos are uploaded to Panopto fof revision.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
10945,Tutorials are generally more interactive because everyone could be covered. The teacher calls the names shown on the list of attendees. ,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
10946,Could ask questions easily Easy to communicate with professor,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
10947,"Uploading the lecture recording was helpful as it allowed students to listen in their own time and with their own pace. During lectures, mosts lecturers go through content quickly. But with lecture recordings, students may pause and then try to digest some of the information gained. The Panopoto feature adversely allowed me to pace my own learning when especially for such this dense and detailed course.",k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
10948,Students are free to 'speak up' anytime during the lecture to ask our teacher questions through the 'comments' section.,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
10949,Flexibility,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
10950,less travel time and easy access to professors,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
10951,professor can see which students are speaking in zoom ,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
10952,All the lectures are recorded which means we can go over the recordings if we missed something during the live session. ,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
10953,"Despite the classes being online, the professor taught with a fervent passion, and explained clearly concepts surrounding the PRC Legal System with concise yet informative powerpoints. Tutorials were also highly interactive, and the professor was able to facilitate constructive discussion among classmates.",r,g,,,r g  ,R G  ,"Interaction & communication, On instructor",,,,,,,,,Interaction & communication,,,,,,,,,,,On instructor,,,,,,
10954,Lectures were as if they were delivered on campus. ,c,,,,c   ,C   ,IDK/ same,,,,IDK/ same,,,,,,,,,,,,,,,,,,,,,,
10955,I can review the lecture materials whenever I want. ,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
10956,Online lectures are not too different from in class lectures. They were clear even though they were online. I enjoyed how clear the lecture slides were. ,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
10957,efficiency.,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
10958,"The course is very interesting. Seminar questions are very well-designed to encourage thinking. In every seminar many students were willing to speak out and discuss. I believe it would be better if the course were face-to-face, but since it is very well designed by Professor Mitchell, online teaching was also the best as it could be. ",g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
10959,I can rewatch the lecture recordings for revision.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
10960,Lecture videos are uploaded on Panopto for revision.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
10961,More interaction,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
10962,The chatroom function makes it clear and possible to have all the notes and questions made by students and teachers able to be noted. ,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
10963,"Can rewatch the lectures, asking questions during the lesson becomes easier",k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
10964,could ask questions easily Easy to communicate with professor,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
10965,"For Contract II, Mr.Gibb used a wide range of online platform to reduce the learning curve during these testing times. Uploading online videos and extra lectures were very helpful as it allowed students to consolidate their knowledge thoroughly. Additionally, the videos used were good induction to the main vitiating elements in contract II. t",j,k,,,j k  ,J K  ,"Learning content/ resources, Self-organised learning",,,,,,,,,,,Learning content/ resources,Self-organised learning,,,,,,,,,,,,,,
10966,Students can raise questions through private messaging the teacher on zoom.,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
10967,it is easy to catch up and allow more free time for both the professors and students ,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
10968,consultation sessions are on zoom and need not go physically to the professor’s office ,p2,,,,p2   ,P2   ,Assignment,,,,,,,,,,,,,,,,,Assignment,,,,,,,,,
10969,All the lectures are recorded which means we can go over the recordings if we missed something during the live session. ,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
10970,"It is similar to face to face teaching, no huge differences ",c,,,,c   ,C   ,IDK/ same,,,,IDK/ same,,,,,,,,,,,,,,,,,,,,,,
10971,"Despite the obvious limitations of the classes being online, the professor supplied us with additional notes and powerpoints to aid our understanding of the subject, which was highly helpful. Tutorials were also quite interactive at times.",j,g,,,j g  ,J G  ,"Interaction & communication, Learning content/ resources",,,,,,,,,Interaction & communication,,Learning content/ resources,,,,,,,,,,,,,,,
10972,Lectures are completely unaffected by online teaching. ,c1,,,,c1   ,C1   ,continue learning,,,,,continue learning,,,,,,,,,,,,,,,,,,,,,
10973,"I was able to rewatch lectures on PanOpto m, which wasn’t available in term 1. ",k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
10974,efficiency.,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
10975,I can rewatch the lecture recordings for revision.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
10976,"Interaction is greatly encouraged. Make full use of the zoom function including polls, chat, which keeps me engaged to the lesson.",g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
10977,Encourages discussion by splitting us into groups with breakout rooms,h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
10978,chat room in lectures and tutorials make raising and answering questions clearer and easier.,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
10979,Can communicate easily with professor Can raise questions easier,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
10980,"One good feature of online teaching is reduced travel time. Students do not have to run from one side of the campus to another side to get to their lectures or tutorials. Through online learning students just need to log-in through Zoom and they are already in class. Additionally, another beneficial feature is the anonymity behind the screen online teaching grants.",e,d,,,e d  ,E D  ,"Learning environment, Time management",,,,,,Learning environment,Time management,,,,,,,,,,,,,,,,,,,
10981,The use of break-out rooms on zoom for class discussions during tutorials.,h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
10982,flexibility,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
10983,"it is easy to catch on, very easy to access the lesson and of course ensure safety of students ",d,n,k,,d n k ,D N K ,"Learning environment, Self-organised learning, Clarity of delivery",,,,,,Learning environment,,,,,,Self-organised learning,,Clarity of delivery,,,,,,,,,,,,
10984,tutorials are very engaging as the tutor calls students out to answer ,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
10985,All the lectures are recorded which means we can go over the recordings if we missed something during the live session. ,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
10986,"Good features include great explanation of difficult constitutional concepts by professors in both lectures and tutorials; clear and informative ppt slides; incredibly interactive tutorial sessions; and in my opinion, really interesting topics discussed which are extremely relevant to HK today.",j,g,,,j g  ,J G  ,"Interaction & communication, Learning content/ resources",,,,,,,,,Interaction & communication,,Learning content/ resources,,,,,,,,,,,,,,,
10987,Lectures were as effective as they were on campus. ,c,,,,c   ,C   ,IDK/ same,,,,IDK/ same,,,,,,,,,,,,,,,,,,,,,,
10988,PanOpto,o,,,,o   ,O   ,,,,,,,,,,,,,,,,,,,,,,,,,,,
10989,efficiency.,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
10990,I can rewatch the lecture recordings for revision.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
10991,"Interaction is greatly encouraged. Make full use of the zoom function including polls, chat, which keeps me engaged to the lesson.",g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
