9105,9105,9105,9105,9105,9105,9105,9105,9105,9105,9105,9105,,9105,109,1294,97,335,46,189,396,259,433,223,1376,669,497,288,264,418,153,218,576,1120,251,274,120,257
8630,"more informative PPTs, less use of the whiteboard",o,j,,,o j  ,whiteboard,PPT,,,O J  ,"Course material, Tools for learning","PPT, whiteboard",,,,,,,,,,,,,PPT,,,,whiteboard,,,,,,,
8631,NO,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
8632,"The network is not stable, influenced the understanding and communications.",s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
8633,please face to face,e,,,,e   ,prefer f2f,,,,E   ,Prefer f2f,prefer f2f,,,,prefer f2f,,,,,,,,,,,,,,,,,,,,
8634,Professor took attendance in spots of students being in different time zones. Professor had students printing and scanning documents. Final is being conducted in an onerous fashion.,r,,,,r   ,lecturer,,,,R   ,On intructor,lecturer,,,,,,,,,,,,,,,,,,lecturer,,,,,,
8635,miss the face-to-face teaching,e,,,,e   ,prefer f2f,,,,E   ,Prefer f2f,prefer f2f,,,,prefer f2f,,,,,,,,,,,,,,,,,,,,
8636,Can try to be more attractive and interesting,d,,,,d   ,not interesting/ boring,,,,D   ,Learn environment,not interesting/ boring,,,,,,not interesting/ boring,,,,,,,,,,,,,,,,,,
8637,Some webservice is slow in Mainland China. May choose platform that is friendly to both HK and Mainland China.,y,,,,y   ,choice of platform,,,,Y   ,Choice of platform,choice of platform,,,,,,,,,,,,,,,,,,,,,,choice of platform,,
8638,I will be great if we can have a gathering with the M&A practitioners,L,,,,L   ,invited talk/ workshop/ seminar,,,,L   ,Learning activities,invited talk/ workshop/ seminar,,,,,,,,,invited talk/ workshop/ seminar,,,,,,,,,,,,,,,
8639,not suitable do presentation online that the latency time is a big problem.actually online teaching is not a good way to learn this course.,e,,,,e   ,unsuitable for online,,,,E   ,Prefer f2f,unsuitable for online,,,,unsuitable for online,,,,,,,,,,,,,,,,,,,,
8640,"That is what university should think of, not us",v,,,,v   ,university,,,,V   ,Others,university,,,,,,,,,,,,,,,,,,,,,,,university,
8641,"Since the course is scheduled near the end of semester also the graduation, if video can still be watched for some more months will be better.",j,,,,j   ,material accessibility (extend),,,,J   ,Course material,material accessibility (extend),,,,,,,,,,,,,material accessibility (extend),,,,,,,,,,,
8642,-sharing opinions through online questionnaires-interactive ways,o,,,,o   ,questionnaire,,,,O   ,Tools for learning,questionnaire,,,,,,,,,,,,,,,,,questionnaire,,,,,,,
8643,more interaction among class as a whole,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
8644,None,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
8645,I prefer more group discussion and real life example.,j,h,,,j h  ,course materials - examples,group discussion,,,J H  ,"Discussion/ Group work, Course material","group discussion, course materials - examples",,,,,,,,,,,,group discussion,course materials - examples,,,,,,,,,,,
8646,the video is often not available through Internet,j,,,,j   ,material accessibility,,,,J   ,Course material,material accessibility,,,,,,,,,,,,,material accessibility,,,,,,,,,,,
8647,audio quality is poor,n,,,,n   ,audio quality,,,,N   ,Clarity of delivery,audio quality,,,,,,,,,,,,,,,,audio quality,,,,,,,,
8648,There are some technical problems such as sound etc.,n,,,,n   ,audio quality,,,,N   ,Clarity of delivery,audio quality,,,,,,,,,,,,,,,,audio quality,,,,,,,,
8649,less interaction compare to real life teaching,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
8650,"the network stability, sometimes it is a bit lagged",x,,,,x   ,Videoplay issue (lag),,,,X   ,Videoplay issue,Videoplay issue (lag),,,,,,,,,,,,,,,,,,,,,Videoplay issue (lag),,,
8651,lack of interaction,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
8652,"when teacher is sharing the screen, there may have some technical problems which may affect our learning",s,,,,s   ,technical problems,,,,S   ,IT-related,technical problems,,,,,,,,,,,,,,,,,,,,technical problems,,,,
8653,lack real experience on community visit,L,,,,L   ,field trips/ site visits,,,,L   ,Learning activities,field trips/ site visits,,,,,,,,,field trips/ site visits,,,,,,,,,,,,,,,
8654,太多分組討論會有點累和費時,h,,,,h   ,group discussion,,,,H   ,Discussion/ Group work,group discussion,,,,,,,,,,,,group discussion,,,,,,,,,,,,
8655,Security and safety using zoom,s,,,,s   ,privacy/ security risk,,,,S   ,IT-related,privacy/ security risk,,,,,,,,,,,,,,,,,,,,privacy/ security risk,,,,
8656,Lack of face-to-face interaction leading to insufficient learning about nonverbal communication,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
8657,the technical problem like the video showing is not smooth,x,,,,x   ,Videoplay issue,,,,X   ,Videoplay issue,Videoplay issue,,,,,,,,,,,,,,,,,,,,,Videoplay issue,,,
8658,cannot practice the technique,L,,,,L   ,lack of practice,,,,L   ,Learning activities,lack of practice,,,,,,,,,lack of practice,,,,,,,,,,,,,,,
8659,"how can u learn badminton from watching video only?if only videoed are played, so why i need attend this lesson? this is NOT about Mr yau's problem, he has tried his very best to deliberate materials to us. However, online PE teaching is not feasible.",e,,,,e   ,unsuitable for online,,,,E   ,Prefer f2f,unsuitable for online,,,,unsuitable for online,,,,,,,,,,,,,,,,,,,,
8660,Nothing can be improved since we can't learn practical skills onlinie.,L,,,,L   ,hands-on experience,,,,L   ,Learning activities,hands-on experience,,,,,,,,,hands-on experience,,,,,,,,,,,,,,,
8661,有時睇片會有啲唔暢順。,x,,,,x   ,Videoplay issue,,,,X   ,Videoplay issue,Videoplay issue,,,,,,,,,,,,,,,,,,,,,Videoplay issue,,,
8662,Almost everything.The choice of application to use.The connection.The topics.,s,s,,,s s  ,network connection,choice of platform,,,S S  ,IT-related,"network connection, choice of platform",,,,,,,,,,,,,,,,,,,,"network connection, choice of platform",,,,
8663,- cannt practise skills with other classmates,L,,,,L   ,lack of practice,,,,L   ,Learning activities,lack of practice,,,,,,,,,lack of practice,,,,,,,,,,,,,,,
8664,No,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
8665,There is no improvement needed.,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
8666,未能實戰技巧,L,,,,L   ,hands-on experience,,,,L   ,Learning activities,hands-on experience,,,,,,,,,hands-on experience,,,,,,,,,,,,,,,
8667,there is less workout opportunities.,L,,,,L   ,sports,,,,L   ,Learning activities,sports,,,,,,,,,sports,,,,,,,,,,,,,,,
8668,No,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
8669,It is impossible to learn how to play squash by simply watching video and PowerPoint.,e,,,,e   ,unsuitable for online,,,,E   ,Prefer f2f,unsuitable for online,,,,unsuitable for online,,,,,,,,,,,,,,,,,,,,
8670,互動性可再增強使用其他軟件代替zoom,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
8671,None,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
8672,沒有,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
8673,No,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
8674,More tutorial on our assignments will be better,u,,,,u   ,tutorial,,,,U   ,Course,tutorial,,,,,,,,tutorial,,,,,,,,,,,,,,,,
8675,More interaction and more communication between professor and students.,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
8676,Make it more stable.,s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
8677,Can have more Q&A session,g,,,,g   ,Q&A,,,,G   ,Interaction,Q&A,,,,,,,,,,,Q&A,,,,,,,,,,,,,
8678,No,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
8679,More deeper explanations will be expected,n,,,,n   ,clearer/ detailed explanation,,,,N   ,Clarity of delivery,clearer/ detailed explanation,,,,,,,,,,,,,,,,clearer/ detailed explanation,,,,,,,,
8680,Everything,Q,,,,Q   ,it's good,,,,Q   ,It's good,it's good,,,,,,,,,,,,,,,,,,,,,,,,it's good
8681,more breaks,f,,,,f   ,breaks,,,,F   ,Class planning,breaks,,,,,,,breaks,,,,,,,,,,,,,,,,,
8682,I think the system can be more interactive by adding more functions,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
8683,I think everything is fine.  I enjoy listening to Dr. Marco's course.,Q,,,,Q   ,it's good,,,,Q   ,It's good,it's good,,,,,,,,,,,,,,,,,,,,,,,,it's good
8684,I need stable VPN,s,,,,s   ,vpn,,,,S   ,IT-related,vpn,,,,,,,,,,,,,,,,,,,,vpn,,,,
8685,MAYBE MORE COMMUNICATION IN CLASS,g,,,,g   ,communication,,,,G   ,Interaction,communication,,,,,,,,,,,communication,,,,,,,,,,,,,
8686,We can't communicate with the teacher directly.,g,,,,g   ,communication,,,,G   ,Interaction,communication,,,,,,,,,,,communication,,,,,,,,,,,,,
8687,Don’t use zoom,y,,,,y   ,no zoom,,,,Y   ,Choice of platform,no zoom,,,,,,,,,,,,,,,,,,,,,,no zoom,,
8688,在分組討論方面可以做得更好，例如令同學更清楚知道他們需要討論的題目。在教學上需要對學生有更多指引。,h,,,,h   ,group discussion,,,,H   ,Discussion/ Group work,group discussion,,,,,,,,,,,,group discussion,,,,,,,,,,,,
8689,好像每堂兩小時都要開鏡頭看著老師十分用神,d,,,,d   ,eyestrain,,,,D   ,Learn environment,eyestrain,,,,,,eyestrain,,,,,,,,,,,,,,,,,,
8690,reduce workload,M,,,,M   ,workload,,,,M   ,Assignment,workload,,,,,,,,,,workload,,,,,,,,,,,,,,
8691,No,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
8692,Discourage interaction.Require equipment (e.g. headphone) for assessment.,p,,,,p   ,assessment,,,,P   ,Assessment,assessment,,,,,,,,,,,,,,,,,,,assessment,,,,,
8693,作業形式,v,,,,v   ,others,,,,V   ,Others,others,,,,,,,,,,,,,,,,,,,,,,,others,
8694,Provide some exercise to improve students’ gramma,M,,,,M   ,classwork,,,,M   ,Assignment,classwork,,,,,,,,,,classwork,,,,,,,,,,,,,,
8695,No specific place for improvement,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
8696,can have more interactions,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
8697,可以有更多程序或網頁以供課堂設計。,u,,,,u   ,course design,,,,U   ,Course,course design,,,,,,,,course design,,,,,,,,,,,,,,,,
8698,用其他平台取代Zoom,y,,,,y   ,another software,,,,Y   ,Choice of platform,another software,,,,,,,,,,,,,,,,,,,,,,another software,,
8699,No,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
8700,no,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
8701,need to open cam,f,,,,f   ,camera on/off,,,,F   ,Class planning,camera on/off,,,,,,,camera on/off,,,,,,,,,,,,,,,,,
8702,It’s perfect as it is,Q,,,,Q   ,it's good,,,,Q   ,It's good,it's good,,,,,,,,,,,,,,,,,,,,,,,,it's good
8703,No,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
8704,無,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
8705,no,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
8706,not using zoom,y,,,,y   ,no zoom,,,,Y   ,Choice of platform,no zoom,,,,,,,,,,,,,,,,,,,,,,no zoom,,
8707,cancel zoom meeting,y,,,,y   ,no zoom,,,,Y   ,Choice of platform,no zoom,,,,,,,,,,,,,,,,,,,,,,no zoom,,
8708,There might be some technical problems when we doing the assessment,p,,,,p   ,assessment,,,,P   ,Assessment,assessment,,,,,,,,,,,,,,,,,,,assessment,,,,,
8709,do not use ZOOM,y,,,,y   ,no zoom,,,,Y   ,Choice of platform,no zoom,,,,,,,,,,,,,,,,,,,,,,no zoom,,
8710,good enough,Q,,,,Q   ,it's good,,,,Q   ,It's good,it's good,,,,,,,,,,,,,,,,,,,,,,,,it's good
8711,could be more interaction,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
8712,"about the online assessment, it is suggested that to provide more technical instruction",p,,,,p   ,assessment,,,,P   ,Assessment,assessment,,,,,,,,,,,,,,,,,,,assessment,,,,,
8713,recording presentation-> live presentation on zoom,k,,,,k   ,lecture recordings,,,,K   ,Recording,lecture recordings,,,,,,,,,,,,,,lecture recordings,,,,,,,,,,
8714,nil.,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
8715,"It's hard to learn and practice presentation skill in front of nothing more than a camera. Especially when no one turned on their camera. To my knowledge, there are courses of which interactions and communication plays an important role, just like this course, being compulsory to turn on camera (since they are courses where ), and every students were willing to cooperate and turns on their camera, knowing full well it's a logical condition given the nature of the course they chose. I believe if this course does the same, most students are willing to cooperate as well, if they take this course out of interest.Also, I believe the assessments should be conducted live in class instead of private video submission. Knowing that someone are actually listening changes a lot.This can also prevent ""cheating"", as there is no second chance in a live presentation, but in a privately submitted video where you can retake if you are not satisfied, there is.",p,L,,,p L  ,assessment,oral practice,,,P L  ,"Learning activities, Assessment","oral practice, assessment",,,,,,,,,oral practice,,,,,,,,,,assessment,,,,,
8716,final presentation can be recorded,h,,,,h   ,group presentation,,,,H   ,Discussion/ Group work,group presentation,,,,,,,,,,,,group presentation,,,,,,,,,,,,
8717,"a lot of troubles, teacher too enthusiastic in teaching, the assessment is stupid, stupid presentations,",p,r,,,p r  ,assessment,lecturer,,,P R  ,"On intructor, Assessment","lecturer, assessment",,,,,,,,,,,,,,,,,,lecturer,assessment,,,,,
8718,Ensure a stable internet connection.,s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
8719,Wifi-connection is disabled sometimes.,s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
8720,students's response is limited.It is suggested that the teacher could randomly pick someone to answer.,g,,,,g   ,participation,,,,G   ,Interaction,participation,,,,,,,,,,,participation,,,,,,,,,,,,,
8721,網速問題令老師教學時偶有延遲或停頓,s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
8722,It should make sure everyone’s internet connection is stable.,s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
8723,很多課堂上的討論或會受到阻礙。,h,,,,h   ,discussion,,,,H   ,Discussion/ Group work,discussion,,,,,,,,,,,,discussion,,,,,,,,,,,,
8724,Video streaming is a bit lagged,x,,,,x   ,Videoplay issue (lag),,,,X   ,Videoplay issue,Videoplay issue (lag),,,,,,,,,,,,,,,,,,,,,Videoplay issue (lag),,,
8725,沒有,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
8726,-,a,,,,a   ,,,,,A   ,Blank,blank,blank,,,,,,,,,,,,,,,,,,,,,,,
8727,X,a,,,,a   ,,,,,A   ,Blank,blank,blank,,,,,,,,,,,,,,,,,,,,,,,
8728,無,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
8729,sometimes the documents shared in the chat function can not be seen.,g,,,,g   ,chatbox,,,,G   ,Interaction,chatbox,,,,,,,,,,,chatbox,,,,,,,,,,,,,
8730,Presentation and effective discussion seem to be a little problematic.,h,,,,h   ,group presentation,,,,H   ,Discussion/ Group work,group presentation,,,,,,,,,,,,group presentation,,,,,,,,,,,,
8731,No,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
8732,The ebook of this course is not convenient to open it on blackboard. Maybe it is better to change it into WORD or something like this which is easier to download or open.,j,,,,j   ,course materials - e textbook,,,,J   ,Course material,course materials - e textbook,,,,,,,,,,,,,course materials - e textbook,,,,,,,,,,,
8733,Presentations could not be done like the face-to-face ones.,e,,,,e   ,prefer f2f,,,,E   ,Prefer f2f,prefer f2f,,,,prefer f2f,,,,,,,,,,,,,,,,,,,,
8734,easy to get everyone not speaking,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
8735,Allowing video recording by student or video records is provided by the teacher.,k,,,,k   ,lecture recordings,,,,K   ,Recording,lecture recordings,,,,,,,,,,,,,,lecture recordings,,,,,,,,,,
8736,It is difficult to have discussions with other classmates.,h ,,,,h    ,discussion,,,,H    ,Discussion/ Group work,discussion,,,,,,,,,,,,discussion,,,,,,,,,,,,
8737,Less interaction between students during discussion (They muted and turned off the camera),g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
8738,Maybe it can be recorded for revision.,k,,,,k   ,lecture recordings,,,,K   ,Recording,lecture recordings,,,,,,,,,,,,,,lecture recordings,,,,,,,,,,
8739,Improve the assessment methods,p,,,,p   ,assessment,,,,P   ,Assessment,assessment,,,,,,,,,,,,,,,,,,,assessment,,,,,
8740,body language can't be viewed through webcam.  it is not a good news for big presentation project.,h,,,,h   ,group presentation,,,,H   ,Discussion/ Group work,group presentation,,,,,,,,,,,,group presentation,,,,,,,,,,,,
8741,Difficult for the student to answer questions timely,g,,,,g   ,Q&A,,,,G   ,Interaction,Q&A,,,,,,,,,,,Q&A,,,,,,,,,,,,,
8742,Maybe can give more time for discussion?,h ,,,,h    ,discussion,,,,H    ,Discussion/ Group work,discussion,,,,,,,,,,,,discussion,,,,,,,,,,,,
8743,"One of the assessments will be group presentation. However, it is hard to hold a group presentatio through Zoom.",p,,,,p   ,assessment,,,,P   ,Assessment,assessment,,,,,,,,,,,,,,,,,,,assessment,,,,,
8744,It will be better if we don’t need to turn on the camera.,f,,,,f   ,camera on/off,,,,F   ,Class planning,camera on/off,,,,,,,camera on/off,,,,,,,,,,,,,,,,,
8745,Hard to have group discussion and presentation,h,,,,h   ,group discussion,,,,H   ,Discussion/ Group work,group discussion,,,,,,,,,,,,group discussion,,,,,,,,,,,,
8746,更少gp discussion,h,,,,h   ,group discussion,,,,H   ,Discussion/ Group work,group discussion,,,,,,,,,,,,group discussion,,,,,,,,,,,,
8747,- face to face teaching is better,e,,,,e   ,prefer f2f,,,,E   ,Prefer f2f,prefer f2f,,,,prefer f2f,,,,,,,,,,,,,,,,,,,,
8748,lack interaction,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
8749,Can upload all lecture videos for the students to study,j,,,,j   ,material accessibility,,,,J   ,Course material,material accessibility,,,,,,,,,,,,,material accessibility,,,,,,,,,,,
8750,it becomes more boring,d,,,,d   ,not interesting/ boring,,,,D   ,Learn environment,not interesting/ boring,,,,,,not interesting/ boring,,,,,,,,,,,,,,,,,,
8751,we can't really meet our classmate for discussion,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
8752,"In case there is connection problem of some students, it’d better for the teacher to record the class.",s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
8753,Assessment,p,,,,p   ,assessment,,,,P   ,Assessment,assessment,,,,,,,,,,,,,,,,,,,assessment,,,,,
8754,-,a,,,,a   ,,,,,A   ,Blank,blank,blank,,,,,,,,,,,,,,,,,,,,,,,
8755,"I am not saying discussion is bad, but breaking room doesn't actually make students discuss. In the course, whenever people gets into the breakroom, no one actually talked.Breakroom function does not facilitate discussion, urging students answering questions is way better then using breakroom for discussion.it is hard to get students to discuss online with strangers, therefore please do not do it again unless necessary.",h,,,,h   ,breakout room,,,,H   ,Discussion/ Group work,breakout room,,,,,,,,,,,,breakout room,,,,,,,,,,,,
8756,More group discussion,h,,,,h   ,group discussion,,,,H   ,Discussion/ Group work,group discussion,,,,,,,,,,,,group discussion,,,,,,,,,,,,
8757,Videos could hardly be played smoothly through online teaching.,x,,,,x   ,Videoplay issue,,,,X   ,Videoplay issue,Videoplay issue,,,,,,,,,,,,,,,,,,,,,Videoplay issue,,,
8758,Better use other assessment to replace the online business meeting for online teaching.,p,,,,p   ,assessment,,,,P   ,Assessment,assessment,,,,,,,,,,,,,,,,,,,assessment,,,,,
8759,Interaction not enoughZoom mock meeting is not reflecting true performance,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
8760,"Teachers should not late to the class. Seriously, she never showed up in the class at the right time. Mostly, she was late about 10 minutes than the start time of the class. Most of the other professors, they join the Zoom meeting 10 minutes earlier than the class. Also, Miss. Lok does not check her email box often. It took about few days to get reply back from her. Moreover, she delayed class too often. I can understand she had some health issues including having symptoms of COVID-19 after coming back from Japan. However, delaying the class more than 3 weeks seems like she is not into our course. Lastly, me and other classmates found that she were playing the previously recorded class videos during the class. She did not used these videos as a supplimentary study material but as the entire class materials. I was very shocked and disappointed when I found this. I do respect her, but even I can teach our class with her teaching methods. Only I have to do is late 10 minutes later than the Strat time, turn on recorded videos, and delay classes whenever I am sick. Many students are not satisfied with the decision made by the university about non-discounted tuition fee. The reasoning for the university is that they are confident with the current online teaching method, since it is providing same quality of education as offline class. I really want to see the school officers can maintain their opinion on the online course even after joining our ELTU Zoom meeting.",r,v,,,r v  ,lecturer,tuition,,,R V  ,"On intructor, Others","lecturer, tuition",,,,,,,,,,,,,,,,,,lecturer,,,,,tuition,
8761,The teacher never replies emails and always fails in doing what she promised such as sending the link for prerecorded lectures (she keep postponing without further notice. She only talks so brief on the guildlines of assigments before we have to do it.,r,,,,r   ,lecturer,,,,R   ,On intructor,lecturer,,,,,,,,,,,,,,,,,,lecturer,,,,,,
8762,"Due to security concern, Zoom should be replaced b other softwares such as Teams  Blackboard Collaborate",s,,,,s   ,privacy/ security risk,,,,S   ,IT-related,privacy/ security risk,,,,,,,,,,,,,,,,,,,,privacy/ security risk,,,,
8763,none,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
8764,- ways of marking participation (some just stay silent and free ride),p,,,,p   ,assessment,,,,P   ,Assessment,assessment,,,,,,,,,,,,,,,,,,,assessment,,,,,
8765,"online teaching lower the possibility of interaction between peers, especially we need to complete the video project individually",g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
8766,It could offer the record to us.,k,,,,k   ,lecture recordings,,,,K   ,Recording,lecture recordings,,,,,,,,,,,,,,lecture recordings,,,,,,,,,,
8767,plz record video,k,,,,k   ,lecture recordings,,,,K   ,Recording,lecture recordings,,,,,,,,,,,,,,lecture recordings,,,,,,,,,,
8768,希望能看网课回放,k,,,,k   ,lecture recordings,,,,K   ,Recording,lecture recordings,,,,,,,,,,,,,,lecture recordings,,,,,,,,,,
8769,"The professor do not provide a detailed power point for the students. It is unavoidable to encounter connection problems during online teaching even though we have used the best device to have lesson. Sometimes the wifi may be stable and thus cannot listen carefully. However, professor is not willing to upload the recording of the lesson to blackboard.",s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
8770,"There are too many students in the class so some technical errors happen sometimes, which doesn't influence the teaching too much though.",s,,,,s   ,technical problems,,,,S   ,IT-related,technical problems,,,,,,,,,,,,,,,,,,,,technical problems,,,,
8771,應保留面授課堂,e,,,,e   ,prefer f2f,,,,E   ,Prefer f2f,prefer f2f,,,,prefer f2f,,,,,,,,,,,,,,,,,,,,
8772,-,a,,,,a   ,,,,,A   ,Blank,blank,blank,,,,,,,,,,,,,,,,,,,,,,,
8773,Don't use zoom,y,,,,y   ,no zoom,,,,Y   ,Choice of platform,no zoom,,,,,,,,,,,,,,,,,,,,,,no zoom,,
8774,希望老師可以在課程中及時回答同學問題,g,,,,g   ,Q&A,,,,G   ,Interaction,Q&A,,,,,,,,,,,Q&A,,,,,,,,,,,,,
8775,no recording uploaded,k,,,,k   ,lecture recordings,,,,K   ,Recording,lecture recordings,,,,,,,,,,,,,,lecture recordings,,,,,,,,,,
8776,None.,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
8777,i think they can post the videos to blackboard.,j,,,,j   ,material accessibility,,,,J   ,Course material,material accessibility,,,,,,,,,,,,,material accessibility,,,,,,,,,,,
8778,No,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
8779,teacher’s mic has noise,n,,,,n   ,microphone,,,,N   ,Clarity of delivery,microphone,,,,,,,,,,,,,,,,microphone,,,,,,,,
8780,Less interactive than face to face lecture.,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
8781,no comment,c,,,,c   ,IDK / no comment/ same,,,,C   ,IDK / no comment/ same,IDK / no comment/ same,,,IDK / no comment/ same,,,,,,,,,,,,,,,,,,,,,
8782,it is clearer to teach by powerpoint + audio (the approach in the last several chapters).,j,,,,j   ,course materials - PPT,,,,J   ,Course material,course materials - PPT,,,,,,,,,,,,,course materials - PPT,,,,,,,,,,,
8783,- please use panopto videos instead of websites because using websites is very inconvenient,j,,,,j   ,course materials,,,,J   ,Course material,course materials,,,,,,,,,,,,,course materials,,,,,,,,,,,
8784,"He has no zoom lecture, and only limited panotop videos. It is hard for students is understand the concepts without the lectutre.",u,,,,u   ,course,,,,U   ,Course,course,,,,,,,,course,,,,,,,,,,,,,,,,
8785,"Needs to be consistent in using which platforms should be used for attending the lectures, sometimes use shiny psy website which I found quite useful yet interesting, sometimes just use PowerPoint which just simply read all the words from the slides",v,,,,v   ,lesson plan,,,,V   ,Others,lesson plan,,,,,,,,,,,,,,,,,,,,,,,lesson plan,
8786,"The professor seldom uploads the videos on time, which hinders and disrupts my study progress",j,,,,j   ,material accessibility,,,,J   ,Course material,material accessibility,,,,,,,,,,,,,material accessibility,,,,,,,,,,,
8787,The teacher should release the course work and course PowerPoint week by week instead of releasing all the course materials at the end of the semester. It makes us tense and does not have enough time to digest the content.,j,,,,j   ,material accessibility,,,,J   ,Course material,material accessibility,,,,,,,,,,,,,material accessibility,,,,,,,,,,,
8788,"The university has provided a variety of methods, such as ZOOM or Panopto, to conduct online teaching. However, the teacher decided to write web pages for every lecture instead, which resulted in a significant delay of the lectures (at one point the teaching pace was delayed by three weeks). Yet, when the teacher recognised that the teaching pace was too slow, he decided to switch to video recordings of lectures, which in some sense was better than the web pages. Yet, three lectures were released within the same week (during the reading week) to catch up with the teaching schedule which was first of all inappropriate, since the reading week is designed for students' revision of material, and second, was too crammed together that effective learning was very difficult.From a student's perspective, this cannot be seen to benefit student's learning.",f,r,,,f r  ,class planning,lecturer,,,F R  ,"Class planning, On intructor","class planning, lecturer",,,,,,,class planning,,,,,,,,,,,lecturer,,,,,,
8789,punctuality and amount of content,f,f,,,f f  ,time control,course structure,,,F F  ,Class planning,"time control, course structure",,,,,,,"time control, course structure",,,,,,,,,,,,,,,,,
8790,-,a,,,,a   ,,,,,A   ,Blank,blank,blank,,,,,,,,,,,,,,,,,,,,,,,
8791,"It was very fast-paced, which made attending lectures in real-time very stressful.",n,,,,n   ,pace slower,,,,N   ,Clarity of delivery,pace slower,,,,,,,,,,,,,,,,pace slower,,,,,,,,
